year,round,team,points,w,d,l,gf,ga,gd,position
2006,1,Gremio,3,1,0,0,2,0,2,1
2006,1,Ponte Preta,3,1,0,0,3,2,1,2
2006,1,Fluminense,3,1,0,0,2,1,1,3
2006,1,Sao Caetano,3,1,0,0,2,1,1,4
2006,1,Juventude,3,1,0,0,1,0,1,5
2006,1,Sao Paulo,3,1,0,0,1,0,1,6
2006,1,Botafogo-RJ,3,1,0,0,1,0,1,7
2006,1,Internacional,1,0,1,0,1,1,0,8
2006,1,Vasco,1,0,1,0,1,1,0,9
2006,1,Goias,1,0,1,0,0,0,0,10
2006,1,Santos,1,0,1,0,0,0,0,11
2006,1,Figueirense,1,0,1,0,0,0,0,12
2006,1,Santa Cruz,1,0,1,0,0,0,0,13
2006,1,Palmeiras,0,0,0,1,2,3,-1,14
2006,1,Athletico-PR,0,0,0,1,1,2,-1,15
2006,1,Cruzeiro,0,0,0,1,1,2,-1,16
2006,1,Flamengo,0,0,0,1,0,1,-1,17
2006,1,Fortaleza,0,0,0,1,0,1,-1,18
2006,1,Parana,0,0,0,1,0,1,-1,19
2006,1,Corinthians,0,0,0,1,0,2,-2,20
2006,2,Fluminense,6,2,0,0,3,1,2,1
2006,2,Figueirense,4,1,1,0,6,1,5,2
2006,2,Santos,4,1,1,0,2,0,2,3
2006,2,Vasco,4,1,1,0,3,2,1,4
2006,2,Internacional,4,1,1,0,2,1,1,5
2006,2,Botafogo-RJ,4,1,1,0,1,0,1,6
2006,2,Cruzeiro,3,1,0,1,4,3,1,7
2006,2,Flamengo,3,1,0,1,3,2,1,8
2006,2,Corinthians,3,1,0,1,3,2,1,9
2006,2,Ponte Preta,3,1,0,1,4,4,0,10
2006,2,Gremio,3,1,0,1,3,3,0,11
2006,2,Fortaleza,3,1,0,1,1,1,0,12
2006,2,Sao Paulo,3,1,0,1,1,1,0,13
2006,2,Juventude,3,1,0,1,2,3,-1,14
2006,2,Sao Caetano,3,1,0,1,2,4,-2,15
2006,2,Goias,1,0,1,1,0,1,-1,16
2006,2,Parana,1,0,1,1,0,1,-1,17
2006,2,Santa Cruz,1,0,1,1,0,1,-1,18
2006,2,Athletico-PR,0,0,0,2,1,4,-3,19
2006,2,Palmeiras,0,0,0,2,3,9,-6,20
2006,3,Santos,7,2,1,0,4,1,3,1
2006,3,Fluminense,7,2,1,0,4,2,2,2
2006,3,Internacional,7,2,1,0,3,1,2,3
2006,3,Sao Paulo,6,2,0,1,5,1,4,4
2006,3,Cruzeiro,6,2,0,1,6,3,3,5
2006,3,Ponte Preta,6,2,0,1,7,6,1,6
2006,3,Fortaleza,6,2,0,1,3,2,1,7
2006,3,Vasco,5,1,2,0,4,3,1,8
2006,3,Figueirense,4,1,1,1,6,3,3,9
2006,3,Parana,4,1,1,1,5,3,2,10
2006,3,Juventude,4,1,1,1,3,4,-1,11
2006,3,Botafogo-RJ,4,1,1,1,1,4,-3,12
2006,3,Athletico-PR,3,1,0,2,5,4,1,13
2006,3,Corinthians,3,1,0,2,5,5,0,14
2006,3,Flamengo,3,1,0,2,3,3,0,15
2006,3,Gremio,3,1,0,2,5,8,-3,16
2006,3,Sao Caetano,3,1,0,2,3,6,-3,17
2006,3,Goias,2,0,2,1,1,2,-1,18
2006,3,Santa Cruz,1,0,1,2,0,5,-5,19
2006,3,Palmeiras,0,0,0,3,4,11,-7,20
2006,4,Santos,10,3,1,0,6,1,5,1
2006,4,Fluminense,10,3,1,0,6,3,3,2
2006,4,Internacional,10,3,1,0,5,2,3,3
2006,4,Sao Paulo,9,3,0,1,8,2,6,4
2006,4,Cruzeiro,9,3,0,1,8,3,5,5
2006,4,Vasco,8,2,2,0,6,4,2,6
2006,4,Ponte Preta,7,2,1,1,8,7,1,7
2006,4,Flamengo,6,2,0,2,4,3,1,8
2006,4,Sao Caetano,6,2,0,2,5,6,-1,9
2006,4,Fortaleza,6,2,0,2,3,4,-1,10
2006,4,Goias,5,1,2,1,3,3,0,11
2006,4,Figueirense,4,1,1,2,7,5,2,12
2006,4,Parana,4,1,1,2,6,5,1,13
2006,4,Juventude,4,1,1,2,3,6,-3,14
2006,4,Botafogo-RJ,4,1,1,2,1,5,-4,15
2006,4,Athletico-PR,3,1,0,3,6,6,0,16
2006,4,Corinthians,3,1,0,3,6,8,-2,17
2006,4,Gremio,3,1,0,3,6,10,-4,18
2006,4,Santa Cruz,2,0,2,2,1,6,-5,19
2006,4,Palmeiras,0,0,0,4,4,13,-9,20
2006,5,Santos,13,4,1,0,9,2,7,1
2006,5,Internacional,13,4,1,0,8,3,5,2
2006,5,Cruzeiro,10,3,1,1,9,4,5,3
2006,5,Fluminense,10,3,1,1,6,4,2,4
2006,5,Sao Paulo,9,3,0,2,9,5,4,5
2006,5,Goias,8,2,2,1,5,3,2,6
2006,5,Vasco,8,2,2,1,6,6,0,7
2006,5,Figueirense,7,2,1,2,8,5,3,8
2006,5,Flamengo,7,2,1,2,4,3,1,9
2006,5,Ponte Preta,7,2,1,2,9,10,-1,10
2006,5,Juventude,7,2,1,2,5,6,-1,11
2006,5,Fortaleza,7,2,1,2,3,4,-1,12
2006,5,Athletico-PR,6,2,0,3,8,7,1,13
2006,5,Corinthians,6,2,0,3,8,9,-1,14
2006,5,Sao Caetano,6,2,0,3,5,8,-3,15
2006,5,Botafogo-RJ,5,1,2,2,3,7,-4,16
2006,5,Parana,4,1,1,3,7,7,0,17
2006,5,Gremio,4,1,1,3,8,12,-4,18
2006,5,Santa Cruz,2,0,2,3,2,8,-6,19
2006,5,Palmeiras,1,0,1,4,5,14,-9,20
2006,6,Cruzeiro,13,4,1,1,11,5,6,1
2006,6,Santos,13,4,1,1,9,3,6,2
2006,6,Internacional,13,4,1,1,10,7,3,3
2006,6,Fluminense,13,4,1,1,7,4,3,4
2006,6,Sao Paulo,12,4,0,2,10,5,5,5
2006,6,Goias,11,3,2,1,8,5,3,6
2006,6,Figueirense,10,3,1,2,12,7,5,7
2006,6,Juventude,10,3,1,2,6,6,0,8
2006,6,Corinthians,9,3,0,3,12,11,1,9
2006,6,Ponte Preta,8,2,2,2,10,11,-1,10
2006,6,Fortaleza,8,2,2,2,4,5,-1,11
2006,6,Vasco,8,2,2,2,8,10,-2,12
2006,6,Flamengo,7,2,1,3,5,5,0,13
2006,6,Athletico-PR,6,2,0,4,10,10,0,14
2006,6,Sao Caetano,6,2,0,4,5,9,-4,15
2006,6,Parana,5,1,2,3,8,8,0,16
2006,6,Gremio,5,1,2,3,9,13,-4,17
2006,6,Botafogo-RJ,5,1,2,3,3,8,-5,18
2006,6,Palmeiras,4,1,1,4,7,15,-8,19
2006,6,Santa Cruz,2,0,2,4,3,10,-7,20
2006,7,Cruzeiro,16,5,1,1,16,6,10,1
2006,7,Fluminense,16,5,1,1,12,6,6,2
2006,7,Internacional,16,5,1,1,11,7,4,3
2006,7,Sao Paulo,15,5,0,2,14,6,8,4
2006,7,Santos,14,4,2,1,11,5,6,5
2006,7,Juventude,13,4,1,2,10,7,3,6
2006,7,Figueirense,11,3,2,2,12,7,5,7
2006,7,Goias,11,3,2,2,8,7,1,8
2006,7,Corinthians,9,3,0,4,12,12,0,9
2006,7,Sao Caetano,9,3,0,4,7,10,-3,10
2006,7,Flamengo,8,2,2,3,7,7,0,11
2006,7,Gremio,8,2,2,3,11,13,-2,12
2006,7,Botafogo-RJ,8,2,2,3,7,9,-2,13
2006,7,Fortaleza,8,2,2,3,6,10,-4,14
2006,7,Ponte Preta,8,2,2,3,11,16,-5,15
2006,7,Vasco,8,2,2,3,9,14,-5,16
2006,7,Athletico-PR,6,2,0,5,11,12,-1,17
2006,7,Parana,6,1,3,3,8,8,0,18
2006,7,Palmeiras,4,1,1,5,8,19,-11,19
2006,7,Santa Cruz,2,0,2,5,4,14,-10,20
2006,8,Fluminense,19,6,1,1,13,6,7,1
2006,8,Cruzeiro,17,5,2,1,17,7,10,2
2006,8,Santos,17,5,2,1,13,5,8,3
2006,8,Internacional,17,5,2,1,12,8,4,4
2006,8,Sao Paulo,16,5,1,2,15,7,8,5
2006,8,Goias,14,4,2,2,10,8,2,6
2006,8,Juventude,13,4,1,3,10,8,2,7
2006,8,Figueirense,12,3,3,2,12,7,5,8
2006,8,Gremio,11,3,2,3,12,13,-1,9
2006,8,Athletico-PR,9,3,0,5,12,12,0,10
2006,8,Corinthians,9,3,0,5,12,14,-2,11
2006,8,Sao Caetano,9,3,0,5,8,12,-4,12
2006,8,Parana,9,2,3,3,13,10,3,13
2006,8,Botafogo-RJ,9,2,3,3,8,10,-2,14
2006,8,Fortaleza,9,2,3,3,6,10,-4,15
2006,8,Vasco,9,2,3,3,10,15,-5,16
2006,8,Flamengo,8,2,2,4,7,8,-1,17
2006,8,Ponte Preta,8,2,2,4,13,21,-8,18
2006,8,Palmeiras,4,1,1,6,8,20,-12,19
2006,8,Santa Cruz,3,0,3,5,5,15,-10,20
2006,9,Sao Paulo,19,6,1,2,16,7,9,1
2006,9,Fluminense,19,6,1,2,13,7,6,2
2006,9,Cruzeiro,18,5,3,1,18,8,10,3
2006,9,Internacional,18,5,3,1,13,9,4,4
2006,9,Santos,17,5,2,2,13,6,7,5
2006,9,Goias,17,5,2,2,11,8,3,6
2006,9,Figueirense,15,4,3,2,15,9,6,7
2006,9,Gremio,14,4,2,3,13,13,0,8
2006,9,Juventude,13,4,1,4,10,9,1,9
2006,9,Parana,12,3,3,3,16,10,6,10
2006,9,Flamengo,11,3,2,4,9,9,0,11
2006,9,Ponte Preta,11,3,2,4,14,21,-7,12
2006,9,Athletico-PR,10,3,1,5,13,13,0,13
2006,9,Sao Caetano,10,3,1,5,9,13,-4,14
2006,9,Fortaleza,10,2,4,3,7,11,-4,15
2006,9,Vasco,10,2,4,3,11,16,-5,16
2006,9,Corinthians,9,3,0,6,12,15,-3,17
2006,9,Botafogo-RJ,9,2,3,4,10,13,-3,18
2006,9,Palmeiras,4,1,1,7,9,22,-13,19
2006,9,Santa Cruz,3,0,3,6,5,18,-13,20
2006,10,Cruzeiro,21,6,3,1,20,8,12,1
2006,10,Internacional,21,6,3,1,16,11,5,2
2006,10,Sao Paulo,20,6,2,2,17,8,9,3
2006,10,Fluminense,19,6,1,3,15,10,5,4
2006,10,Santos,18,5,3,2,13,6,7,5
2006,10,Goias,17,5,2,3,12,10,2,6
2006,10,Parana,15,4,3,3,18,11,7,7
2006,10,Figueirense,15,4,3,3,15,12,3,8
2006,10,Gremio,15,4,3,3,14,14,0,9
2006,10,Flamengo,14,4,2,4,11,9,2,10
2006,10,Juventude,14,4,2,4,11,10,1,11
2006,10,Ponte Preta,14,4,2,4,17,21,-4,12
2006,10,Athletico-PR,13,4,1,5,15,13,2,13
2006,10,Vasco,13,3,4,3,13,17,-4,14
2006,10,Sao Caetano,11,3,2,5,10,14,-4,15
2006,10,Botafogo-RJ,10,2,4,4,10,13,-3,16
2006,10,Fortaleza,10,2,4,4,7,13,-6,17
2006,10,Corinthians,9,3,0,7,12,17,-5,18
2006,10,Palmeiras,4,1,1,8,9,24,-15,19
2006,10,Santa Cruz,3,0,3,7,6,20,-14,20
2006,11,Cruzeiro,24,7,3,1,22,8,14,1
2006,11,Internacional,24,7,3,1,18,11,7,2
2006,11,Sao Paulo,23,7,2,2,19,9,10,3
2006,11,Fluminense,22,7,1,3,18,12,6,4
2006,11,Parana,18,5,3,3,22,12,10,5
2006,11,Santos,18,5,3,3,14,8,6,6
2006,11,Figueirense,18,5,3,3,17,13,4,7
2006,11,Goias,17,5,2,4,13,12,1,8
2006,11,Gremio,15,4,3,4,15,16,-1,9
2006,11,Athletico-PR,14,4,2,5,15,13,2,10
2006,11,Juventude,14,4,2,5,13,13,0,11
2006,11,Flamengo,14,4,2,5,12,13,-1,12
2006,11,Ponte Preta,14,4,2,5,17,23,-6,13
2006,11,Vasco,13,3,4,4,15,21,-6,14
2006,11,Sao Caetano,12,3,3,5,11,15,-4,15
2006,11,Botafogo-RJ,11,2,5,4,11,14,-3,16
2006,11,Fortaleza,11,2,5,4,7,13,-6,17
2006,11,Corinthians,9,3,0,8,12,19,-7,18
2006,11,Palmeiras,7,2,1,8,13,26,-13,19
2006,11,Santa Cruz,6,1,3,7,8,21,-13,20
2006,12,Sao Paulo,26,8,2,2,21,10,11,1
2006,12,Cruzeiro,25,7,4,1,22,8,14,2
2006,12,Internacional,24,7,3,2,18,13,5,3
2006,12,Fluminense,23,7,2,3,22,16,6,4
2006,12,Parana,21,6,3,3,24,13,11,5
2006,12,Santos,18,5,3,4,14,10,4,6
2006,12,Figueirense,18,5,3,4,18,15,3,7
2006,12,Goias,18,5,3,4,13,12,1,8
2006,12,Juventude,17,5,2,5,15,13,2,9
2006,12,Gremio,16,4,4,4,19,20,-1,10
2006,12,Vasco,16,4,4,4,16,21,-5,11
2006,12,Sao Caetano,15,4,3,5,13,15,-2,12
2006,12,Athletico-PR,14,4,2,6,16,15,1,13
2006,12,Flamengo,14,4,2,6,12,14,-2,14
2006,12,Ponte Preta,14,4,2,6,18,27,-9,15
2006,12,Botafogo-RJ,14,3,5,4,15,15,0,16
2006,12,Fortaleza,11,2,5,5,8,17,-9,17
2006,12,Palmeiras,10,3,1,8,14,26,-12,18
2006,12,Corinthians,9,3,0,9,12,20,-8,19
2006,12,Santa Cruz,9,2,3,7,12,22,-10,20
2006,13,Sao Paulo,29,9,2,2,24,11,13,1
2006,13,Cruzeiro,25,7,4,2,22,9,13,2
2006,13,Internacional,25,7,4,2,18,13,5,3
2006,13,Parana,24,7,3,3,25,13,12,4
2006,13,Fluminense,24,7,3,3,24,18,6,5
2006,13,Figueirense,21,6,3,4,20,15,5,6
2006,13,Santos,21,6,3,4,17,12,5,7
2006,13,Vasco,19,5,4,4,18,22,-4,8
2006,13,Goias,18,5,3,5,14,15,-1,9
2006,13,Juventude,17,5,2,6,17,16,1,10
2006,13,Sao Caetano,16,4,4,5,15,17,-2,11
2006,13,Gremio,16,4,4,5,19,22,-3,12
2006,13,Botafogo-RJ,15,3,6,4,15,15,0,13
2006,13,Athletico-PR,14,4,2,7,17,17,0,14
2006,13,Flamengo,14,4,2,7,12,17,-5,15
2006,13,Ponte Preta,14,4,2,7,19,30,-11,16
2006,13,Palmeiras,13,4,1,8,17,27,-10,17
2006,13,Santa Cruz,12,3,3,7,15,22,-7,18
2006,13,Fortaleza,12,2,6,5,10,19,-9,19
2006,13,Corinthians,10,3,1,9,14,22,-8,20
2006,14,Sao Paulo,29,9,2,3,24,15,9,1
2006,14,Internacional,26,7,5,2,18,13,5,2
2006,14,Cruzeiro,25,7,4,3,22,10,12,3
2006,14,Fluminense,25,7,4,3,25,19,6,4
2006,14,Parana,24,7,3,4,27,17,10,5
2006,14,Santos,24,7,3,4,21,12,9,6
2006,14,Vasco,22,6,4,4,19,22,-3,7
2006,14,Figueirense,21,6,3,5,20,16,4,8
2006,14,Juventude,20,6,2,6,18,16,2,9
2006,14,Goias,19,5,4,5,15,16,-1,10
2006,14,Athletico-PR,17,5,2,7,18,17,1,11
2006,14,Sao Caetano,17,4,5,5,16,18,-2,12
2006,14,Gremio,17,4,5,5,19,22,-3,13
2006,14,Palmeiras,16,5,1,8,21,29,-8,14
2006,14,Botafogo-RJ,16,3,7,4,16,16,0,15
2006,14,Santa Cruz,15,4,3,7,16,22,-6,16
2006,14,Ponte Preta,15,4,3,7,20,31,-11,17
2006,14,Flamengo,14,4,2,8,12,18,-6,18
2006,14,Fortaleza,13,2,7,5,11,20,-9,19
2006,14,Corinthians,10,3,1,10,14,23,-9,20
2006,15,Sao Paulo,30,9,3,3,25,16,9,1
2006,15,Parana,27,8,3,4,29,18,11,2
2006,15,Santos,27,8,3,4,23,13,10,3
2006,15,Cruzeiro,26,7,5,3,25,13,12,4
2006,15,Internacional,26,7,5,3,19,15,4,5
2006,15,Fluminense,25,7,4,4,25,22,3,6
2006,15,Figueirense,22,6,4,5,21,17,4,7
2006,15,Vasco,22,6,4,5,20,24,-4,8
2006,15,Juventude,20,6,2,7,18,17,1,9
2006,15,Gremio,20,5,5,5,20,22,-2,10
2006,15,Goias,19,5,4,6,15,17,-2,11
2006,15,Ponte Preta,18,5,3,7,23,31,-8,12
2006,15,Sao Caetano,18,4,6,5,17,19,-2,13
2006,15,Athletico-PR,17,5,2,8,19,19,0,14
2006,15,Flamengo,17,5,2,8,13,18,-5,15
2006,15,Palmeiras,17,5,2,8,21,29,-8,16
2006,15,Botafogo-RJ,17,3,8,4,17,17,0,17
2006,15,Santa Cruz,16,4,4,7,19,25,-6,18
2006,15,Fortaleza,14,2,8,5,11,20,-9,19
2006,15,Corinthians,13,4,1,10,16,24,-8,20
2006,16,Sao Paulo,33,10,3,3,27,17,10,1
2006,16,Internacional,29,8,5,3,21,16,5,2
2006,16,Parana,28,8,4,4,30,19,11,3
2006,16,Santos,28,8,4,4,24,14,10,4
2006,16,Fluminense,28,8,4,4,28,24,4,5
2006,16,Cruzeiro,26,7,5,4,27,16,11,6
2006,16,Figueirense,25,7,4,5,24,18,6,7
2006,16,Gremio,23,6,5,5,22,22,0,8
2006,16,Vasco,23,6,5,5,20,24,-4,9
2006,16,Juventude,21,6,3,7,18,17,1,10
2006,16,Sao Caetano,21,5,6,5,19,19,0,11
2006,16,Palmeiras,20,6,2,8,24,30,-6,12
2006,16,Goias,19,5,4,7,16,19,-3,13
2006,16,Ponte Preta,19,5,4,7,23,31,-8,14
2006,16,Flamengo,18,5,3,8,13,18,-5,15
2006,16,Athletico-PR,17,5,2,9,19,21,-2,16
2006,16,Botafogo-RJ,17,3,8,5,18,20,-2,17
2006,16,Santa Cruz,16,4,4,8,19,27,-8,18
2006,16,Fortaleza,14,2,8,6,12,22,-10,19
2006,16,Corinthians,13,4,1,11,17,27,-10,20
2006,17,Sao Paulo,34,10,4,3,29,19,10,1
2006,17,Parana,31,9,4,4,31,19,12,2
2006,17,Santos,31,9,4,4,26,14,12,3
2006,17,Internacional,30,8,6,3,22,17,5,4
2006,17,Fluminense,28,8,4,5,29,26,3,5
2006,17,Cruzeiro,26,7,5,5,27,18,9,6
2006,17,Figueirense,26,7,5,5,25,19,6,7
2006,17,Gremio,26,7,5,5,26,24,2,8
2006,17,Sao Caetano,24,6,6,5,21,20,1,9
2006,17,Vasco,23,6,5,6,21,26,-5,10
2006,17,Juventude,22,6,4,7,19,18,1,11
2006,17,Palmeiras,21,6,3,8,25,31,-6,12
2006,17,Goias,20,5,5,7,18,21,-3,13
2006,17,Flamengo,19,5,4,8,14,19,-5,14
2006,17,Ponte Preta,19,5,4,8,24,34,-10,15
2006,17,Athletico-PR,18,5,3,9,22,24,-2,16
2006,17,Botafogo-RJ,18,3,9,5,20,22,-2,17
2006,17,Fortaleza,17,3,8,6,15,23,-8,18
2006,17,Corinthians,16,5,1,11,19,28,-9,19
2006,17,Santa Cruz,16,4,4,9,21,31,-10,20
2006,18,Sao Paulo,37,11,4,3,32,21,11,1
2006,18,Parana,31,9,4,5,33,22,11,2
2006,18,Santos,31,9,4,5,26,16,10,3
2006,18,Internacional,31,8,7,3,24,19,5,4
2006,18,Fluminense,29,8,5,5,30,27,3,5
2006,18,Cruzeiro,27,7,6,5,29,20,9,6
2006,18,Figueirense,27,7,6,5,28,22,6,7
2006,18,Gremio,26,7,5,6,26,25,1,8
2006,18,Vasco,26,7,5,6,23,26,-3,9
2006,18,Sao Caetano,24,6,6,6,21,21,0,10
2006,18,Juventude,22,6,4,8,20,22,-2,11
2006,18,Flamengo,22,6,4,8,15,19,-4,12
2006,18,Palmeiras,22,6,4,8,26,32,-6,13
2006,18,Ponte Preta,22,6,4,8,27,36,-9,14
2006,18,Athletico-PR,21,6,3,9,25,24,1,15
2006,18,Goias,20,5,5,8,20,24,-4,16
2006,18,Fortaleza,20,4,8,6,19,24,-5,17
2006,18,Corinthians,19,6,1,11,20,28,-8,18
2006,18,Botafogo-RJ,18,3,9,6,20,23,-3,19
2006,18,Santa Cruz,17,4,5,9,22,32,-10,20
2006,19,Sao Paulo,38,11,5,3,33,22,11,1
2006,19,Santos,32,9,5,5,27,17,10,2
2006,19,Parana,31,9,4,6,33,23,10,3
2006,19,Internacional,31,8,7,4,25,21,4,4
2006,19,Gremio,29,8,5,6,30,26,4,5
2006,19,Fluminense,29,8,5,6,30,30,0,6
2006,19,Vasco,29,8,5,6,26,27,-1,7
2006,19,Cruzeiro,27,7,6,6,29,21,8,8
2006,19,Figueirense,27,7,6,6,29,25,4,9
2006,19,Palmeiras,25,7,4,8,29,32,-3,10
2006,19,Sao Caetano,25,6,7,6,23,23,0,11
2006,19,Athletico-PR,24,7,3,9,27,25,2,12
2006,19,Juventude,23,6,5,8,20,22,-2,13
2006,19,Flamengo,23,6,5,8,17,21,-4,14
2006,19,Ponte Preta,22,6,4,9,27,39,-12,15
2006,19,Goias,21,5,6,8,22,26,-4,16
2006,19,Botafogo-RJ,21,4,9,6,21,23,-2,17
2006,19,Corinthians,20,6,2,11,20,28,-8,18
2006,19,Fortaleza,20,4,8,7,20,28,-8,19
2006,19,Santa Cruz,18,4,6,9,23,33,-10,20
2006,20,Sao Paulo,39,11,6,3,34,23,11,1
2006,20,Santos,35,10,5,5,29,18,11,2
2006,20,Internacional,34,9,7,4,27,21,6,3
2006,20,Gremio,32,9,5,6,32,26,6,4
2006,20,Vasco,32,9,5,6,28,28,0,5
2006,20,Parana,31,9,4,7,33,27,6,6
2006,20,Cruzeiro,30,8,6,6,32,21,11,7
2006,20,Figueirense,30,8,6,6,31,25,6,8
2006,20,Fluminense,29,8,5,7,31,32,-1,9
2006,20,Athletico-PR,27,8,3,9,29,26,3,10
2006,20,Juventude,26,7,5,8,21,22,-1,11
2006,20,Palmeiras,26,7,5,8,30,33,-3,12
2006,20,Sao Caetano,25,6,7,7,23,26,-3,13
2006,20,Flamengo,24,6,6,8,18,22,-4,14
2006,20,Botafogo-RJ,24,5,9,6,24,25,-1,15
2006,20,Ponte Preta,23,6,5,9,28,40,-12,16
2006,20,Goias,21,5,6,9,23,28,-5,17
2006,20,Corinthians,20,6,2,12,20,30,-10,18
2006,20,Fortaleza,20,4,8,8,22,31,-9,19
2006,20,Santa Cruz,18,4,6,10,23,35,-12,20
2006,21,Sao Paulo,42,12,6,3,37,24,13,1
2006,21,Internacional,37,10,7,4,29,22,7,2
2006,21,Santos,35,10,5,6,30,20,10,3
2006,21,Gremio,35,10,5,6,34,27,7,4
2006,21,Vasco,33,9,6,6,30,30,0,5
2006,21,Parana,31,9,4,8,34,29,5,6
2006,21,Figueirense,31,8,7,6,32,26,6,7
2006,21,Cruzeiro,30,8,6,7,33,23,10,8
2006,21,Juventude,29,8,5,8,22,22,0,9
2006,21,Fluminense,29,8,5,8,32,35,-3,10
2006,21,Athletico-PR,27,8,3,10,29,31,-2,11
2006,21,Palmeiras,27,7,6,8,31,34,-3,12
2006,21,Botafogo-RJ,27,6,9,6,28,25,3,13
2006,21,Sao Caetano,25,6,7,8,23,27,-4,14
2006,21,Goias,24,6,6,9,26,29,-3,15
2006,21,Flamengo,24,6,6,9,18,23,-5,16
2006,21,Ponte Preta,24,6,6,9,30,42,-12,17
2006,21,Corinthians,23,7,2,12,21,30,-9,18
2006,21,Fortaleza,21,4,9,8,23,32,-9,19
2006,21,Santa Cruz,18,4,6,11,23,37,-14,20
2006,22,Sao Paulo,43,12,7,3,37,24,13,1
2006,22,Internacional,40,11,7,4,31,22,9,2
2006,22,Santos,38,11,5,6,35,21,14,3
2006,22,Gremio,38,11,5,6,36,28,8,4
2006,22,Parana,34,10,4,8,35,29,6,5
2006,22,Vasco,34,9,7,6,31,31,0,6
2006,22,Figueirense,32,8,8,6,34,28,6,7
2006,22,Cruzeiro,31,8,7,7,35,25,10,8
2006,22,Fluminense,30,8,6,8,33,36,-3,9
2006,22,Botafogo-RJ,30,7,9,6,33,25,8,10
2006,22,Juventude,29,8,5,9,22,24,-2,11
2006,22,Athletico-PR,27,8,3,11,29,33,-4,12
2006,22,Goias,27,7,6,9,28,29,-1,13
2006,22,Palmeiras,27,7,6,9,32,39,-7,14
2006,22,Corinthians,26,8,2,12,22,30,-8,15
2006,22,Sao Caetano,26,6,8,8,23,27,-4,16
2006,22,Flamengo,24,6,6,10,19,25,-6,17
2006,22,Ponte Preta,24,6,6,10,30,43,-13,18
2006,22,Fortaleza,22,4,10,8,23,32,-9,19
2006,22,Santa Cruz,18,4,6,12,24,40,-16,20
2006,23,Sao Paulo,46,13,7,3,39,24,15,1
2006,23,Internacional,40,11,7,5,31,24,7,2
2006,23,Santos,39,11,6,6,36,22,14,3
2006,23,Gremio,39,11,6,6,37,29,8,4
2006,23,Vasco,35,9,8,6,32,32,0,5
2006,23,Parana,34,10,4,9,35,30,5,6
2006,23,Figueirense,33,8,9,6,36,30,6,7
2006,23,Juventude,32,9,5,9,24,24,0,8
2006,23,Cruzeiro,31,8,7,8,35,27,8,9
2006,23,Athletico-PR,30,9,3,11,31,34,-3,10
2006,23,Fluminense,30,8,6,9,33,37,-4,11
2006,23,Palmeiras,30,8,6,9,35,40,-5,12
2006,23,Botafogo-RJ,30,7,9,7,33,27,6,13
2006,23,Goias,28,7,7,9,30,31,-1,14
2006,23,Corinthians,27,8,3,12,22,30,-8,15
2006,23,Flamengo,27,7,6,10,21,25,-4,16
2006,23,Ponte Preta,27,7,6,10,32,43,-11,17
2006,23,Sao Caetano,26,6,8,9,24,30,-6,18
2006,23,Fortaleza,23,4,11,8,24,33,-9,19
2006,23,Santa Cruz,18,4,6,13,24,42,-18,20
2006,24,Sao Paulo,49,14,7,3,40,24,16,1
2006,24,Gremio,42,12,6,6,41,29,12,2
2006,24,Internacional,40,11,7,6,31,25,6,3
2006,24,Santos,39,11,6,7,36,23,13,4
2006,24,Parana,37,11,4,9,37,30,7,5
2006,24,Vasco,36,9,9,6,32,32,0,6
2006,24,Juventude,35,10,5,9,25,24,1,7
2006,24,Cruzeiro,34,9,7,8,36,27,9,8
2006,24,Fluminense,33,9,6,9,35,37,-2,9
2006,24,Figueirense,33,8,9,7,36,32,4,10
2006,24,Athletico-PR,31,9,4,11,33,36,-3,11
2006,24,Corinthians,30,9,3,12,23,30,-7,12
2006,24,Flamengo,30,8,6,10,25,28,-3,13
2006,24,Palmeiras,30,8,6,10,35,41,-6,14
2006,24,Ponte Preta,30,8,6,10,33,43,-10,15
2006,24,Botafogo-RJ,30,7,9,8,33,31,2,16
2006,24,Goias,29,7,8,9,30,31,-1,17
2006,24,Sao Caetano,26,6,8,10,24,31,-7,18
2006,24,Fortaleza,23,4,11,9,27,37,-10,19
2006,24,Santa Cruz,18,4,6,14,25,44,-19,20
2006,25,Sao Paulo,49,14,7,4,41,27,14,1
2006,25,Gremio,45,13,6,6,45,29,16,2
2006,25,Internacional,41,11,8,6,32,26,6,3
2006,25,Parana,40,12,4,9,38,30,8,4
2006,25,Santos,40,11,7,7,37,24,13,5
2006,25,Vasco,37,9,10,6,33,33,0,6
2006,25,Figueirense,36,9,9,7,37,32,5,7
2006,25,Juventude,35,10,5,10,26,26,0,8
2006,25,Athletico-PR,34,10,4,11,36,37,-1,9
2006,25,Cruzeiro,34,9,7,9,36,28,8,10
2006,25,Fluminense,34,9,7,9,36,38,-2,11
2006,25,Flamengo,33,9,6,10,26,28,-2,12
2006,25,Botafogo-RJ,33,8,9,8,35,32,3,13
2006,25,Corinthians,31,9,4,12,24,31,-7,14
2006,25,Palmeiras,30,8,6,11,37,44,-7,15
2006,25,Ponte Preta,30,8,6,11,33,47,-14,16
2006,25,Goias,30,7,9,9,32,33,-1,17
2006,25,Sao Caetano,26,6,8,11,24,32,-8,18
2006,25,Fortaleza,23,4,11,10,27,39,-12,19
2006,25,Santa Cruz,21,5,6,14,28,46,-18,20
2006,26,Sao Paulo,50,14,8,4,41,27,14,1
